District,Size m2,Rooms number,Price,Rent,URL
 Targówek,50.4,2,1700.0,780.0,https://www.olx.pl/d/oferta/dwa-pokoje-50-m2-z-garazem-na-kondratowicza-CID3-IDLVL6c.html#4a0499b52f
 Praga-Północ,40.0,2,2100.0,1.0,https://www.olx.pl/d/oferta/przytulne-mieszkanie-praga-polnoc-przy-metrze-stadion-narodowy-CID3-IDLM4YQ.html#4a0499b52f;promoted
 Bielany,56.0,3,2150.0,10.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-3-pokojowe-na-bielanach-ul-wolumen-10-CID3-IDLmsYf.html#4a0499b52f
 Wola,46.0,2,2500.0,500.0,https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-oddzielna-kuchnia-wola-CID3-IDLVMSJ.html#14aaf70e72;promoted
 Ochota,60.0,3,2700.0,1.0,https://www.olx.pl/d/oferta/3-oddzielne-pokoje-ochota-swietna-lokalizacja-po-remoncie-CID3-IDHiVIw.html#14aaf70e72;promoted
 Mokotów,46.0,2,2000.0,100.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-dla-2-osob-b-dobry-punkt-warszawa-mokotow-CID3-IDLBpWf.html#14aaf70e72;promoted
 Ursynów,53.0,2,2200.0,620.0,https://www.olx.pl/d/oferta/mieszkanie-53-m2-warszawa-natolin-do-wynajecia-od-15-10-2021-CID3-IDLu0bV.html#14aaf70e72;promoted
 Ochota,18.0,1,1950.0,250.0,https://www.olx.pl/d/oferta/nowa-kawalerka-przy-polach-mokotowskich-sgh-metro-300m-batorego-18-CID3-IDLzxLn.html#14aaf70e72;promoted
 Mokotów,60.5,2,4500.0,1.0,https://www.olx.pl/d/oferta/modzelewskiego-63-metro-wierzbno-60-m2-CID3-IDLQaBg.html#14aaf70e72;promoted
 Wola,20.0,3,1200.0,1.0,https://www.olx.pl/d/oferta/wynajme-pokoj-na-woli-CID3-IDLVJYF.html#14aaf70e72
 Bielany,43.0,2,3600.0,500.0,https://www.olx.pl/d/oferta/apartament-marymont-43-m-bielany-CID3-IDLKkDP.html#14aaf70e72;promoted
 Ursus,55.0,2,2600.0,1.0,https://www.olx.pl/d/oferta/sloneczne-2-pokojowe-mieszkanie-55m2-CID3-IDLVKm4.html#14aaf70e72
 Wola,72.0,3,3000.0,700.0,https://www.olx.pl/d/oferta/wynajme-3-pokojowe-mieszkanie-wola-radziwie-7-CID3-IDLVKbj.html#14aaf70e72
 Mokotów,56.0,2,2750.0,450.0,https://www.olx.pl/d/oferta/komfortowy-apartament-obrzezna-mokotow-56m2-CID3-IDLSoGV.html#14aaf70e72;promoted
 Praga-Południe,24.0,1,1850.0,300.0,https://www.olx.pl/d/oferta/nowoczesna-kawalerka-przy-ch-promenada-ul-lukowska-goclaw-praga-CID3-IDGFoyP.html#14aaf70e72;promoted
